G_GAN,G_L1,D_loss,G_GAN_ma,G_L1_ma,D_loss_ma
9.302,2252.855,-3.794,11.06616944,1509.476626,-3.928027461
8.675,2337.796,-3.146,10.94661097,1550.892595,-3.888926088
8.266,1025.86,-2.58,10.81258042,1524.640965,-3.823479784
9.438,2191.749,-3.179,10.7438514,1557.996367,-3.791255795
5.806,511.155,-2.098,10.49695883,1505.654298,-3.706593005
9.302,2213.254,-2.803,10.43721089,1541.034283,-3.661413355
9.019,465.949,-2.6,10.36630034,1487.280019,-3.608342687
8.41,2168.557,-2.32,10.26848533,1521.343868,-3.543925553
7.104,550.731,-6.311,10.11026106,1472.813225,-3.682279275
9.593,2397.744,-8.026,10.08439801,1519.059764,-3.899465311
9.019,2587.233,-2.6,10.03112811,1572.468425,-3.834492046
7.974,419.043,-1.465,9.928271702,1514.797154,-3.716017443
8.963,548.678,-7.164,9.880008117,1466.491196,-3.888416571
10.412,955.602,-3.37,9.906607711,1440.946737,-3.862495743
9.299,570.551,-2.737,9.876227325,1397.42695,-3.806220956
8.843,647.264,-2.839,9.824565959,1359.918802,-3.757859908
8.128,395.102,-3.1,9.739737661,1311.677962,-3.724966912
7.719,2065.334,-7.713,9.638700778,1349.360764,-3.924368567
8.298,2330.088,-2.527,9.571665739,1398.397126,-3.854500138
8.9,550.091,-3.326,9.538082452,1355.98182,-3.828075131
9.663,2346.462,-3.17,9.54432833,1405.505829,-3.795171375
5.089,2210.113,-6.832,9.321561913,1445.736187,-3.947012806
7.355,2115.652,-5.874,9.223233818,1479.231978,-4.043362166
9.76,2367.089,-6.056,9.250072127,1523.624829,-4.143994058
8.332,2341.455,-3.263,9.20416852,1564.516337,-4.099944355
7.395,655.346,-7.082,9.113710094,1519.057821,-4.249047137
8.633,505.687,-2.414,9.08967459,1468.38928,-4.15729478
10.111,826.051,-2.475,9.14074086,1436.272366,-4.073180041
6.611,647.803,-5.782,9.014253817,1396.848897,-4.158621039
8.79,2467.714,-7.28,9.003041126,1450.392152,-4.314689987
7.509,2508.209,-4.603,8.92833907,1503.282995,-4.329105488
9.392,2274.405,-1.597,8.951522116,1541.839095,-4.192500213
8.35,2441.549,-7.206,8.921446011,1586.82459,-4.343175203
9.48,2271.773,-7.318,8.94937371,1621.072011,-4.491916443
8.391,2163.913,-2.783,8.921455025,1648.21406,-4.40647062
11.109,555.984,-2.244,9.030832273,1593.602557,-4.298347089
8.889,2052.127,-3.936,9.02374066,1616.528779,-4.280229735
12.041,2102.702,-9.431,9.174603627,1640.83744,-4.537768248
6.452,513.436,-2.023,9.038473445,1584.467368,-4.412029836
8.381,2185.99,-9.065,9.005599773,1614.5435,-4.644678344
8.991,623.543,-9.69,9.004869784,1564.993475,-4.896944427
8.526,568.055,-3.417,8.980926295,1515.146551,-4.822947205
7.087,554.051,-6.933,8.88622998,1467.091774,-4.928449845
9.141,2388.813,-3.001,8.898968481,1513.177835,-4.832077353
8.534,439.968,-2.538,8.880720057,1459.517343,-4.717373485
7.871,2347.68,-4.638,8.830234054,1503.925476,-4.713404811
8.224,536.017,-2.605,8.799922352,1455.530052,-4.60798457
9.317,2003.836,-7.942,8.825776234,1482.94535,-4.774685342
7.669,592.482,-4.715,8.767937422,1438.422182,-4.771701075
8.606,534.45,-2.446,8.759840551,1393.223573,-4.655416021
8.157,2274.753,-2.468,8.729698524,1437.300044,-4.54604522
10.039,2223.492,-2.122,8.795163598,1476.609642,-4.424842959
10.319,2500.733,-5.29,8.871355418,1527.81581,-4.468100811
9.089,2154.759,-9.875,8.882237647,1559.16297,-4.738445771
6.796,594.473,-2.313,8.777925764,1510.928471,-4.617173482
9.373,608.88,-2.683,8.807679476,1465.826048,-4.520464808
9.743,2414.996,-2.532,8.854445502,1513.284545,-4.421041568
8.496,551.043,-5.493,8.836523227,1465.172468,-4.474639489
8.946,551.236,-9.338,8.841997066,1419.475645,-4.717807515
3.689,440.055,-2.198,8.584347213,1370.504612,-4.591817139
7.894,2244.886,-3.45,8.549829852,1414.223682,-4.534726282
7.898,2185.196,-1.52,8.517238359,1452.772298,-4.383989968
9.83,2146.234,-8.418,8.582876441,1487.445383,-4.58569047
5.514,463.28,-2.95,8.429432619,1436.237114,-4.503905946
8.798,580.866,-5.637,8.447860988,1393.468558,-4.560560649
10.118,633.739,-4.823,8.531367939,1355.48208,-4.573682616
8.147,2403.779,-6.694,8.512149542,1407.896926,-4.679698485
8.323,527.308,-3.858,8.502692065,1363.86748,-4.638613561
7.784,725.556,-8.821,8.466757462,1331.951906,-4.847732883
8.455,2044.624,-2.692,8.466169589,1367.58551,-4.739946239
3.606,495.923,-2.606,8.223161109,1324.002385,-4.633248927
5.934,2432.24,-2.398,8.108703054,1379.414266,-4.521486481
8.266,474.237,-5.754,8.116567901,1334.155402,-4.583112157
9.383,2199.333,-8.292,8.179889506,1377.414282,-4.768556549
8.26,2336.831,-2.984,8.183895031,1425.385118,-4.679328721
6.643,2156.203,-2.573,8.106850279,1461.926012,-4.574012285
7.544,489.498,-4.812,8.078707765,1413.304612,-4.585911671
9.923,939.88,-7.84,8.170922377,1389.633381,-4.748616087
8.317,552.571,-2.397,8.178226258,1347.780262,-4.631035283
7.649,419.152,-2.465,8.151764945,1301.348849,-4.522733519
7.61,491.17,-2.133,8.124676698,1260.839906,-4.403246843
5.544,589.517,-2.64,7.995642863,1227.273761,-4.315084501
6.479,474.247,-2.07,7.91981072,1189.622423,-4.202830276
4.777,556.478,-5.974,7.762670184,1157.965202,-4.291388762
9.569,2136.452,-9.915,7.852986675,1206.889542,-4.572569324
6.611,2411.174,-7.259,7.790887341,1267.103765,-4.706890858
8.024,2021.939,-6.121,7.802542974,1304.845526,-4.777596315
7.88,456.25,-2.549,7.806415825,1262.41575,-4.666166499
8.258,2443.683,-2.446,7.828995034,1321.479113,-4.555158174
7.881,1911.484,-2.521,7.831595282,1350.979357,-4.453450265
9.232,317.859,-2.779,7.901615518,1299.323339,-4.369727752
6.824,452.073,-2.767,7.847734742,1256.960822,-4.289591365
10.24,2094.517,-2.899,7.967348005,1298.838631,-4.220061796
8.719,670.114,-5.934,8.004930605,1267.4024,-4.305758707
6.423,474.082,-3.844,7.925834075,1227.73638,-4.282670771
9.036,2381.099,-4.027,7.981342371,1285.404511,-4.269887233
9.249,2203.712,-3.663,8.044725252,1331.319885,-4.239542871
8.711,536.6,-2.405,8.07803899,1291.583891,-4.147815727
8.012,548.453,-2.264,8.07473704,1254.427346,-4.053624941
7.507,592.216,-2.709,8.046350188,1221.316779,-3.986393694
6.239,2359.379,-4.057,7.955982679,1278.21989,-3.989924009
8.136,784.285,-3.418,7.964983545,1253.523146,-3.961327809
7.922,641.025,-3.096,7.962834368,1222.898238,-3.918061418
8.536,1106.587,-3.099,7.991492649,1217.082676,-3.877108347
9.117,2545.632,-2.391,8.047768017,1283.510143,-3.80280293
8.397,2514.8,-2.333,8.065229616,1345.074635,-3.729312784
8.507,2546.095,-6.914,8.087318135,1405.125654,-3.888547144
9.601,2102.36,-3.87,8.163002228,1439.987371,-3.887619787
8.569,2742.605,-8.278,8.183302117,1505.118252,-4.107138798
8.199,682.606,-3.516,8.184087011,1463.99264,-4.077581858
7.621,928.386,-3.269,8.155932661,1437.212308,-4.037152765
8.971,2402.101,-3.747,8.196686028,1485.456742,-4.022645127
5.898,2232.08,-2.848,8.081751726,1522.787905,-3.96391287
8.326,2092.955,-2.281,8.09396414,1551.29626,-3.879767227
8.692,2162.844,-2.664,8.123865933,1581.873647,-3.818978866
9.55,2012.066,-6.845,8.195172636,1603.383265,-3.970279922
8.013,2161.374,-4.419,8.186064004,1631.282801,-3.992715926
7.103,2049.529,-2.918,8.131910804,1652.195111,-3.93898013
7.827,2217.456,-3.02,8.116665264,1680.458156,-3.893031123
5.977,446.875,-3.713,8.009682001,1618.778998,-3.884029567
7.679,2234.311,-2.804,7.993147901,1649.555598,-3.830028089
10.133,2335.894,-6.969,8.100140506,1683.872518,-3.986976684
5.976,512.439,-6.771,7.99393348,1625.300842,-4.12617785
8.673,548.881,-9.187,8.027886806,1571.47985,-4.379218958
6.145,1085.693,-5.777,7.933742466,1547.190508,-4.44910801
7.574,2086.688,-2.921,7.915755343,1574.165382,-4.372702609
6.977,658.136,-4.548,7.868817576,1528.363913,-4.381467479
7.495,2213.689,-2.97,7.850126697,1562.630168,-4.310894105
8.859,2202.584,-3.55,7.900570362,1594.627859,-4.2728494
10.07,2137.107,-8.005,8.009041844,1621.751816,-4.45945693
10.03,620.938,-3.634,8.110089752,1571.711125,-4.418184083
8.297,2098.425,-1.311,8.119435264,1598.046819,-4.262824879
7.455,685.431,-6.759,8.086213501,1552.416028,-4.387633635
7.788,2272.933,-2.977,8.071302826,1588.441877,-4.317101953
8.445,483.734,-2.471,8.089987685,1533.206483,-4.224796856
8.734,2103.502,-3.373,8.1221883,1561.721259,-4.182207013
7.059,701.766,-1.797,8.069028885,1518.723496,-4.062946662
8.114,2234.792,-3.495,8.071277441,1554.526921,-4.034549329
8.616,2130.436,-3.294,8.098513569,1583.322375,-3.997521863
10.185,2166.074,-6.798,8.202837891,1612.459956,-4.13754577
6.301,483.84,-7.514,8.107745996,1556.028958,-4.306368481
7.531,508.349,-1.979,8.078908696,1503.64496,-4.190000057
5.466,531.615,-2.189,7.948263261,1455.043462,-4.089950054
8.466,709.877,-2.795,7.974150098,1417.785139,-4.025202551
4.063,438.576,-2.604,7.778592593,1368.824682,-3.954142424
6.453,633.554,-2.533,7.712312964,1332.061148,-3.883085303
5.143,629.278,-2.826,7.583847316,1296.921991,-3.830231038
7.331,2176.86,-3.197,7.57120495,1340.918891,-3.798569486
6.785,509.786,-2.673,7.531894702,1299.362247,-3.742291011
6.386,2303.084,-3.394,7.474599967,1349.548334,-3.724876461
7.182,2328.726,-3.791,7.459969969,1398.507218,-3.728182638
6.391,613.768,-2.871,7.40652147,1359.270257,-3.685323506
10.924,2204.731,-9.429,7.582395397,1401.543294,-3.972507331
7.547,515.09,-6.86,7.580625627,1357.220629,-4.116881964
7.839,2439.785,-4.83,7.593544346,1411.348848,-4.152537866
7.81,505.293,-2.406,7.604367128,1366.046055,-4.065210973
7.044,2155.149,-3.857,7.576348772,1405.501203,-4.054800424
6.587,407.919,-1.931,7.526881333,1355.622093,-3.948610403
6.461,1403.537,-2.012,7.473587267,1358.017838,-3.851779883
7.507,655.226,-6.212,7.475257903,1322.878246,-3.969790888
6.404,544.402,-3.592,7.421695008,1283.954434,-3.950901344
9.709,1955.643,-7.903,7.536060258,1317.538862,-4.148506277
6.551,2217.729,-2.629,7.486807245,1362.548369,-4.072530963
7.443,2486.169,-4.713,7.484616883,1418.7294,-4.104554415
7.989,2700.75,-3.177,7.509836039,1482.83043,-4.058176694
7.177,460.214,-2.173,7.493194237,1431.699609,-3.963917859
5.645,385.336,-2.192,7.400784525,1379.381428,-3.875321966
8.161,933.609,-3.856,7.438795299,1357.092807,-3.874355868
9.013,567.959,-2.175,7.517505534,1317.636117,-3.789388075
9.202,457.038,-2.34,7.601730257,1274.606211,-3.716918671
6.408,610.682,-3.045,7.542043744,1241.41,-3.683322737
9.962,2256.081,-3.676,7.663041557,1292.14355,-3.682956601
8.05,2210.294,-4.745,7.682389479,1338.051073,-3.736058771
6.75,2273.68,-2.839,7.635770005,1384.832519,-3.691205832
6.849,520.899,-2.456,7.596431505,1341.635843,-3.62944554
7.211,2384.594,-7.521,7.57715993,1393.783751,-3.824023263
5.664,455.738,-2.645,7.481501933,1346.881463,-3.7650721
9.091,475.286,-1.936,7.561976836,1303.30169,-3.673618495
8.527,2310.762,-9.659,7.610227995,1353.674706,-3.97288757
6.226,2328.029,-1.44,7.541016595,1402.39242,-3.846243192
5.165,625.296,-2.649,7.422215765,1363.537599,-3.786381032
8.224,2479.755,-2.885,7.462304977,1419.348469,-3.741311981
6.041,620.609,-7.757,7.391239728,1379.411496,-3.942096382
8.736,2148.745,-2.394,7.458477742,1417.878171,-3.864691563
8.313,2375.167,-2.85,7.501203855,1465.742613,-3.813956984
7.616,2330.206,-2.858,7.506943662,1508.965782,-3.766159135
7.549,2307.432,-3.27,7.509046479,1548.889093,-3.741351178
3.665,549.101,-7.584,7.316844155,1498.899688,-3.93348362
7.3,448.035,-2.529,7.316001947,1446.356454,-3.863259439
8.77,628.191,-5.773,7.38870185,1405.448181,-3.958746467
7.491,2079.768,-3.534,7.393816757,1439.164172,-3.937509143
7.21,350.466,-2.253,7.384625919,1384.729264,-3.853283686
5.044,2207.286,-2.75,7.267594623,1425.8571,-3.798119502
7.58,2182.198,-3.281,7.283214892,1463.674145,-3.772263527
6.658,2156.828,-2.577,7.251954148,1498.331838,-3.71250035
7.895,703.991,-6.792,7.28410644,1458.614796,-3.866475333
4.628,432.175,-2.07,7.151301118,1407.292806,-3.776651566
4.499,569.39,-5.892,7.018686062,1365.397666,-3.882418988
8.49,2022.525,-7.984,7.092251759,1398.254033,-4.087498039
8.623,2241.343,-9.587,7.168789171,1440.408481,-4.362473137
6.706,539.661,-1.763,7.145649713,1395.371107,-4.23249948
8.043,2435.153,-2.281,7.190517227,1447.360202,-4.134924506
3.99,642.854,-6.187,7.030491366,1407.134892,-4.23752828
7.077,2349.278,-4.71,7.032816797,1454.242047,-4.261151866
7.922,2161.105,-5.414,7.077275958,1489.585195,-4.318794273
7.38,360.97,-1.953,7.09241216,1433.154435,-4.200504559
9.843,1971.543,-6.647,7.229941552,1460.073863,-4.322829332
8.732,785.312,-3.035,7.305044474,1426.33577,-4.258437865
8.151,463.469,-2.174,7.34734225,1378.192432,-4.154215972
8.353,476.6,-1.901,7.397625138,1333.11281,-4.041555173
6.649,683.643,-2.895,7.360193881,1300.639319,-3.984227414
7.645,2376.906,-4.412,7.374434187,1354.452653,-4.005616044
6.483,2208.22,-3.193,7.329862478,1397.141021,-3.964985242
7.317,1139.491,-7.068,7.329219354,1384.25852,-4.120135979
7.135,2421.067,-2.628,7.319508386,1436.098944,-4.04552918
9.383,2356.012,-2.938,7.422682967,1482.094597,-3.990152721
5.74,556.35,-7.357,7.338548818,1435.807367,-4.158495085
8.091,609.016,-1.76,7.376171377,1394.467798,-4.038570331
7.649,2379.912,-5.344,7.389812809,1443.740008,-4.103841815
9.163,515.205,-5.306,7.478472168,1397.313258,-4.163949724
7.848,2256.3,-2.613,7.49694856,1440.262595,-4.086402238
8.102,379.835,-2.35,7.527201132,1387.241215,-3.999582126
6.154,484.824,-6.474,7.458541075,1342.120355,-4.123303019
8.121,714.78,-2.227,7.491664021,1310.753337,-4.028487869
4.444,806.789,-8.285,7.33928082,1285.55512,-4.241313475
10.044,511.577,-10.314,7.474516779,1246.856214,-4.544947801
8.472,2438.673,-6.709,7.52439094,1306.447053,-4.653150411
7.974,845.291,-3.636,7.546871393,1283.389251,-4.602292891
7.85,2006.196,-8.07,7.562027824,1319.529588,-4.775678246
6.916,492,-2.076,7.529726432,1278.153109,-4.640694334
8.281,2195.178,-7.952,7.567290111,1324.004353,-4.806259617
9.493,2269.509,-4.624,7.663575605,1371.279586,-4.797146636
7.391,608.733,-2.682,7.649946825,1333.152256,-4.691389304
7.506,2072.771,-3.317,7.642749484,1370.133194,-4.622669839
7.803,2274.456,-3.22,7.65076201,1415.349334,-4.552536347
7.962,576.672,-6.049,7.666323909,1373.415467,-4.62735953
7.882,2352.123,-2.045,7.677107714,1422.350844,-4.498241553
7.869,2015.914,-7.581,7.686702328,1452.029002,-4.652379476
6.519,2253.559,-3.188,7.628317212,1492.105502,-4.579160502
6.771,2338.534,-2.881,7.585451351,1534.426926,-4.494252477
9.989,2367.483,-8.464,7.705628783,1576.07973,-4.692739853
6.825,2030.175,-3.573,7.661597344,1598.784494,-4.63675286
5.621,427.819,-5.719,7.559567477,1540.236219,-4.690865217
7.871,2237.005,-3.363,7.575139103,1575.074658,-4.624471956
6.494,506.014,-5.057,7.521082148,1521.621625,-4.646098359
8.438,896.358,-4.43,7.566928041,1490.358444,-4.635293441
6.807,513.139,-2.77,7.528931639,1441.497472,-4.542028769
5.246,721.741,-5.296,7.414785057,1405.509648,-4.57972733
6.877,599.18,-6.919,7.387895804,1365.193166,-4.696690964
7.518,2200.399,-9.284,7.394401014,1406.953457,-4.926056416
5.587,754.385,-5.629,7.304030963,1374.325035,-4.961203595
7.06,2018.061,-5.053,7.291829415,1406.511833,-4.965793415
6.228,2257.376,-2.991,7.238637944,1449.055041,-4.867053744
7.783,2556.223,-8.631,7.265856047,1504.413439,-5.055251057
5.622,2233.211,-2.516,7.183663245,1540.853317,-4.928288504
6.631,2011.253,-3.052,7.156030082,1564.373301,-4.834474079
7.38,2204.543,-8.622,7.167228578,1596.381786,-5.023850375
7.705,2422.586,-2.398,7.194117149,1637.691997,-4.892557856
