pattern =  abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ_,+

G_GAN,G_L1,D_loss,
-5.034,572.415,-13.794,
-10.963,213.009,-7.882,
-0.351,229.007,-15.767,
-12.131,546.570,-8.167,
29.563,331.838,-40.393,
-1.514,237.566,-12.608,
-2.610,329.464,-12.789,
-7.558,622.700,-10.791,
-4.946,643.173,-13.871,
-10.016,577.640,-6.975,
-11.349,245.087,-8.217,
-13.418,531.884,-7.278,
19.538,592.229,-30.843,
-12.727,208.129,-7.159,
-12.410,601.891,-6.606,
-12.743,358.052,-7.766,
-14.456,191.911,-6.050,
1.817,595.024,-16.602,
-13.419,616.962,-7.206,
-13.547,570.783,-7.905,
-12.425,528.525,-6.633,
